Point At X,Point At Y,Pressed At X,Pressed At Y,Released At X,Released At Y,Scrolled At X,Scrolled At Y
1211,340,false,false,false,false,false,false
1211,340,false,false,false,false,false,false
1172,373,false,false,false,false,false,false
1172,373,false,false,false,false,false,false
1129,409,false,false,false,false,false,false
1129,409,false,false,false,false,false,false
1088,436,false,false,false,false,false,false
1088,436,false,false,false,false,false,false
1073,443,false,false,false,false,false,false
1073,443,false,false,false,false,false,false
1065,448,false,false,false,false,false,false
1065,448,false,false,false,false,false,false
1057,452,false,false,false,false,false,false
1057,452,false,false,false,false,false,false
1051,453,false,false,false,false,false,false
1051,453,false,false,false,false,false,false
1043,457,false,false,false,false,false,false
1043,457,false,false,false,false,false,false
1036,459,false,false,false,false,false,false
1036,459,false,false,false,false,false,false
1028,461,false,false,false,false,false,false
1028,461,false,false,false,false,false,false
1020,463,false,false,false,false,false,false
1020,463,false,false,false,false,false,false
1013,463,false,false,false,false,false,false
1013,463,false,false,false,false,false,false
1007,465,false,false,false,false,false,false
1007,465,false,false,false,false,false,false
1002,465,false,false,false,false,false,false
1002,465,false,false,false,false,false,false
996,467,false,false,false,false,false,false
996,467,false,false,false,false,false,false
993,467,false,false,false,false,false,false
993,467,false,false,false,false,false,false
992,468,false,false,false,false,false,false
992,468,false,false,false,false,false,false
989,468,false,false,false,false,false,false
989,468,false,false,false,false,false,false
987,470,false,false,false,false,false,false
987,470,false,false,false,false,false,false
984,471,false,false,false,false,false,false
984,471,false,false,false,false,false,false
983,471,false,false,false,false,false,false
983,471,false,false,false,false,false,false
981,473,false,false,false,false,false,false
981,473,false,false,false,false,false,false
980,473,false,false,false,false,false,false
980,473,false,false,false,false,false,false
978,474,false,false,false,false,false,false
978,474,false,false,false,false,false,false
977,474,false,false,false,false,false,false
977,474,false,false,false,false,false,false
976,476,false,false,false,false,false,false
976,476,false,false,false,false,false,false
974,476,false,false,false,false,false,false
974,476,false,false,false,false,false,false
973,476,false,false,false,false,false,false
973,476,false,false,false,false,false,false
971,477,false,false,false,false,false,false
971,477,false,false,false,false,false,false
970,477,false,false,false,false,false,false
970,477,false,false,false,false,false,false
968,478,false,false,false,false,false,false
968,478,false,false,false,false,false,false
967,480,false,false,false,false,false,false
967,480,false,false,false,false,false,false
966,480,false,false,false,false,false,false
966,480,false,false,false,false,false,false
964,481,false,false,false,false,false,false
964,481,false,false,false,false,false,false
963,483,false,false,false,false,false,false
963,483,false,false,false,false,false,false
961,483,false,false,false,false,false,false
961,483,false,false,false,false,false,false
960,484,false,false,false,false,false,false
960,484,false,false,false,false,false,false
959,484,false,false,false,false,false,false
959,484,false,false,false,false,false,false
957,486,false,false,false,false,false,false
957,486,false,false,false,false,false,false
956,486,false,false,false,false,false,false
956,486,false,false,false,false,false,false
954,487,false,false,false,false,false,false
954,487,false,false,false,false,false,false
953,487,false,false,false,false,false,false
953,487,false,false,false,false,false,false
951,488,false,false,false,false,false,false
951,488,false,false,false,false,false,false
948,490,false,false,false,false,false,false
948,490,false,false,false,false,false,false
945,492,false,false,false,false,false,false
945,492,false,false,false,false,false,false
941,493,false,false,false,false,false,false
941,493,false,false,false,false,false,false
938,495,false,false,false,false,false,false
938,495,false,false,false,false,false,false
935,497,false,false,false,false,false,false
935,497,false,false,false,false,false,false
931,499,false,false,false,false,false,false
931,499,false,false,false,false,false,false
930,500,false,false,false,false,false,false
930,500,false,false,false,false,false,false
927,501,false,false,false,false,false,false
927,501,false,false,false,false,false,false
923,503,false,false,false,false,false,false
923,503,false,false,false,false,false,false
920,505,false,false,false,false,false,false
920,505,false,false,false,false,false,false
918,506,false,false,false,false,false,false
918,506,false,false,false,false,false,false
915,508,false,false,false,false,false,false
915,508,false,false,false,false,false,false
914,509,false,false,false,false,false,false
914,509,false,false,false,false,false,false
912,511,false,false,false,false,false,false
912,511,false,false,false,false,false,false
911,512,false,false,false,false,false,false
911,512,false,false,false,false,false,false
910,514,false,false,false,false,false,false
910,514,false,false,false,false,false,false
908,515,false,false,false,false,false,false
908,515,false,false,false,false,false,false
907,516,false,false,false,false,false,false
907,516,false,false,false,false,false,false
905,518,false,false,false,false,false,false
905,518,false,false,false,false,false,false
904,519,false,false,false,false,false,false
904,519,false,false,false,false,false,false
902,521,false,false,false,false,false,false
902,521,false,false,false,false,false,false
902,522,false,false,false,false,false,false
902,522,false,false,false,false,false,false
902,524,false,false,false,false,false,false
902,524,false,false,false,false,false,false
901,525,false,false,false,false,false,false
901,525,false,false,false,false,false,false
901,526,false,false,false,false,false,false
901,526,false,false,false,false,false,false
900,526,false,false,false,false,false,false
900,526,false,false,false,false,false,false
900,528,false,false,false,false,false,false
900,528,false,false,false,false,false,false
898,529,false,false,false,false,false,false
898,529,false,false,false,false,false,false
898,531,false,false,false,false,false,false
898,531,false,false,false,false,false,false
897,532,false,false,false,false,false,false
897,532,false,false,false,false,false,false
897,533,false,false,false,false,false,false
897,533,false,false,false,false,false,false
895,535,false,false,false,false,false,false
895,535,false,false,false,false,false,false
895,536,false,false,false,false,false,false
895,536,false,false,false,false,false,false
894,538,false,false,false,false,false,false
894,538,false,false,false,false,false,false
894,539,false,false,false,false,false,false
894,539,false,false,false,false,false,false
892,541,false,false,false,false,false,false
892,541,false,false,false,false,false,false
892,542,false,false,false,false,false,false
892,542,false,false,false,false,false,false
892,543,false,false,false,false,false,false
892,543,false,false,false,false,false,false
891,545,false,false,false,false,false,false
891,545,false,false,false,false,false,false
891,546,false,false,false,false,false,false
891,546,false,false,false,false,false,false
890,548,false,false,false,false,false,false
890,548,false,false,false,false,false,false
890,549,false,false,false,false,false,false
890,549,false,false,false,false,false,false
888,551,false,false,false,false,false,false
888,551,false,false,false,false,false,false
888,552,false,false,false,false,false,false
888,552,false,false,false,false,false,false
887,553,false,false,false,false,false,false
887,553,false,false,false,false,false,false
885,555,false,false,false,false,false,false
885,555,false,false,false,false,false,false
885,556,false,false,false,false,false,false
885,556,false,false,false,false,false,false
884,556,false,false,false,false,false,false
884,556,false,false,false,false,false,false
884,558,false,false,false,false,false,false
884,558,false,false,false,false,false,false
883,559,false,false,false,false,false,false
883,559,false,false,false,false,false,false
883,561,false,false,false,false,false,false
883,561,false,false,false,false,false,false
881,561,false,false,false,false,false,false
881,561,false,false,false,false,false,false
881,562,false,false,false,false,false,false
881,562,false,false,false,false,false,false
881,562,true,true,false,false,false,false
881,562,true,true,false,false,false,false
881,562,false,false,true,true,false,false
881,562,false,false,true,true,false,false
